SERPINE1
WDR41
BHLHE23
EEFSEC
CENPI
ZC2HC1A
OR6C1
IRX4
HDAC3
ACOT9
INPP5B
TRIM22
CSHL1
PLA2G4A
CDC37L1
AZU1
ZNF587
LCORL
CFL2
SLC15A2
TBX22
GALR1
NLGN3
ABAT
STOX2
RWDD4
WARS2
SLC6A1
TICAM2
KLHDC3
OR1A1
OR2M7
KRT5
POLR2A
HSPB2
AREG
CRTAM
GPM6B
CLMN
ARL11
KLRC4
KIR3DL2
SOX1
DSG3
TNFAIP8
WDR3
CRLF2
TRIM8
C12orf54
PCBP4
SIKE1
KANK4
DVL1
DOCK4
RPL5
G0S2
UBE2W
PDE1B
DSC1
DEFB114
MAGEL2
WNT7A
TMEM102
MTCL1
C16orf74
KLK8
PRRX1
STEAP2
ZNF80
FGD3
CPA5
LEFTY2
OR1M1
DNMBP
ITIH1
RASIP1
CXCL9
CYP3A5
KRTAP4-9
DPYSL3
FOXP4
CLEC17A
LILRA4
OR2Y1
TBX4
DSC3
KIAA0040
CALB1
SERPINB5
SOX9
TNFRSF12A
PLEKHB1
CD1E
IGSF6
MYL3
VTN
MAP4K1
DLK2
DUOX1
REXO4
COL27A1
WASL
TNK1
MAGEA9
SCML1
MAPRE3
SIRPB2
OLR1
TMEM86B
EEF2KMT
COL7A1
CBLC
SOX5
GP2
JUP
S100A13
OLFML1
BCL2L14
MYO3A
TRANK1
SPIC
TRPM8
PTPN7
PRB2
RASGRP2
PRR32
ZNF721
ZNF385C
KRT31
GPR33
OR4N2
FOXR2
DEFB115
CD63
SLPI
TFF1
CRYGD
ADAM9
MAPK8IP1
ASPH
CAMK2A
RBM39
VAX1
C4orf51
GDI1
CLEC14A
CCL1
ANP32A
VSNL1
PON2
CD1B
DDIT4L
OR5AU1
SIGLEC1
AK1
TFF3
EPM2A
MAP4K3
ETFDH
RMND5A
TM4SF1
DGKA
HEATR9
WNT3A
FAM78A
SPRR1B
KLRK1
GRHL3
TDG
IDO2
BHMT
TRIM49C
LOXL1
OCM2
OR6N2
GSC2
BACE1
MAP3K8
FAM50A
HTR2A
PCDH12
DCD
KDELR3
UCN2
KLK5
CDYL
TWF1
RCC2
GPR50
PRMT9
PRM1
LDLRAD4
ARHGEF12
MITD1
RAPH1
CWH43
HMGXB4
ZCCHC3
IGFBP4
DUSP11
PTHLH
TMEM52B
EML4
FAM193A
EPHA10
TNN
CLCA2
FRMD7
PTPRJ
ARPC1A
CHIT1
ZNF562
ETV1
MUC13
OLFM2
CSDE1
RAET1E
CCDC8
ZNF780A
HRC
NKD1
LMCD1
CAPN2
PAH
CBLN4
CDH5
TRAF3IP3
ARSJ
PCCB
IL13RA1
IL4
CRYGB
GZF1
OR2T34
COL4A1
RAET1L
ENPP1
UPK2
GINS2
CD38
IQSEC2
CXorf38
CD226
IRX2
IRF6
GSTM4
SH2D1B
CLEC4E
ADIPOR2
GP9
ACADM
YEATS4
HOXB5
OR52K2
ANXA8
TULP1
FOXE1
CELSR2
NR3C1
WAS
ADGRF4
SLC25A17
FOLH1
GJB3
SLC16A10
FAM177B
FOXR1
GFOD1
TSPAN17
ABI3BP
FGF3
PYHIN1
KRT9
VAV3
MFSD3
COMMD7
CEACAM3
KRTDAP
KRTAP19-7
ADGRE5
MUC12
HPCAL1
SIGLEC15
EDDM3A
FLG2
HABP4
NTAN1
MED20
TBC1D14
ESYT3
SLC44A4
USP51
SOX15
BRDT
CDHR3
MACF1
GRIK3
TRIML1
S100A5
COPS6
SKA3
TMED7-TICAM2
LMTK2
TIGIT
GBP6
COL3A1
VWC2
ANKRD2
SMTNL2
TET3
CSTA
IRS4
C5orf24
MICALL1
GAK
ZSCAN5B
SH3RF1
ADGRG7
BATF2
RGMA
PTP4A2
LARP1
NRXN2
DAPP1
ESD
MYOZ1
HCN2
EFEMP1
TBL1Y
PRSS58
SERF2
NMI
LPIN2
KLHL6
LHCGR
ARHGAP25
VPS13D
NOD1
BLOC1S4
TTC24
CCL19
CCDC40
IZUMO1
LILRB3
LRP5
HOXD11
TAF4B
C9
PRSS56
COL6A1
TFF2
SCN4B
KLHL36
OLAH
SERPINB13
SMAD6
PPEF1
DSTN
KLRB1
RCSD1
FFAR4
GOLGA8S
PSD4
ZNF580
APBA1
PTGIS
FAM83B
GDAP2
TP63
UGT1A7
MAGEA6
PPP1R14D
RPS6KA1
MTRNR2L12
PHLDA1
ODF3L1
CDH3
C1orf74
GPR87
NID2
DENND2C
JAM2
GREM2
KRT14
SCGB1C1
HOXD10
GPR31
DMRTB1
PDZD2
WDR11
GPC3
GRIA3
TSPY3
CXCL10
PTGER3
ARSH
STAP1
SCGB1A1
LCE4A
ACAP3
ANKRD18B
TSPY2
FAM47B
GZMK
IGSF9
HSPB3
FAT2
KRTAP3-1
DISP2
ANKFY1
ABHD12B
CTTN
CT47A7
TFE3
ANK2
ZSCAN29
FAM3B
RNASE7
SLC9A3R2
STAC
SHTN1
POU2F3
FGF11
PI3
SERPINA10
CST11
NBPF9
SDHB
SLAMF7
BTC
IFNG
TCN1
ADAM28
LGALS7
RBPJ
GTF2IRD1
HPS3
OR6K3
TMSB4Y
LDHC
KISS1
FCRL6
PURA
KRT6B
APELA
YY2
KRT16
LILRA6
UBC
RNASEL
GTF3C5
NAPB
TAF13
OR2V1
APOC3
TIMD4
HTT
LTBP2
MANSC4
RARG
LETM1
OR2G3
CD5L
PLA1A
AGAP2
DUOXA1
VKORC1
SNRPA
OVOL1
MUC5AC
AMELY
UCMA
BCL2L15
SDC4
SULT1C2
C12orf42
PRDM14
TMEM45B
MFNG
COL4A2
ZNF423
APLP1
TMBIM6
VAV1
SCN1B
RNF4
MOS
NFKBID
DLK1
CETN2
PHLDA2
GALNT3
TNP1
VMP1
CIB4
ANKRD34B
SKOR2
CLNK
TMEM265
FAM114A1
SSX5
LGALS3
NFIC
LIMK2
RNF128
KRT85
OR10P1
UBE2G1
ITGB6
WFS1
NUTM2F
OTOR
NLRC3
GULP1
POU2AF1
LY6H
AHCYL1
CAPN8
PTPN23
DCTN4
AJAP1
ANXA2
MAGI1
SPATA21
OR5A2
HAUS4
SLC47A2
RGL3
TMEM241
AVPR1A
PROSER3
ROM1
EMCN
REEP5
OR4X2
LCE1B
B3GALT5
KRT13
SLC24A2
MKLN1
RGS6
C1orf131
SBK3
