DSG1
CLEC4M
IGSF23
DTHD1
PLA2G2D
SHD
SERPINB11
GSTA2
KIAA0319
LRIG2
ENTPD3
RGS18
AKR1D1
GIMAP7
CLEC4C
BET1
FGF16
OPHN1
DLK2
PTP4A1
HSF5
PRSS58
TSLP
RBFA
COQ3
LRRC40
TXN2
TUBA3C
LPL
IL2
CYP2B6
KBTBD7
ZNF80
TBC1D3B
AGL
ARHGAP36
REC114
FGF4
ESR1
ITIH1
SEC61A2
NTF4
FGF2
KRTAP4-3
CXCL9
CYP3A5
AADACL2
KDELR2
VPS13D
PHACTR3
KRTAP25-1
CD86
EVX1
PLEKHB1
LTBP4
PIK3C2G
HOXD10
LY75
SYP
GPR31
KRT28
ATP1B3
SERP2
CLPSL1
KLHDC7A
PRR4
SLCO2B1
SLC27A6
NUDT3
FAM53B
KRTAP4-2
CNTRL
MC2R
OR2B6
ANKRD1
RGS22
CCDC173
ZBTB8A
ZNF831
CSTF2T
STAT1
LSM2
CD101
IDUA
MTRNR2L10
RPA1
BMP4
RBMXL3
TECTA
VTN
GPR37
BUB1
MSL2
KRTAP7-1
POLR1D
CDC20
SLC16A7
THAP10
PINLYP
CSNK2B
LCE1D
TMEM102
TBXA2R
CASP14
NLGN4Y
TSPY4
HABP4
PIP
MAFB
HDC
S100A7A
PRPF38A
ANKRD35
FCRLA
OR5M10
CPA5
AKR1A1
MCM5
PRDM9
KRTAP26-1
EPS8
CD1E
KRTAP9-7
IGSF6
PFDN6
MVB12A
FAM83C
PTPRR
GDF3
ZNF184
ACTN4
ARID1B
PLA2G4A
ZNF587
LCORL
IER3IP1
ZNF440
NKIRAS1
EPS15
POU5F2
GMNN
KIF2A
FCRL4
RPS24
MAGEB3
CST8
HOXC9
STON2
SIPA1L3
EIF1B
TUBGCP3
OR10G2
PFKL
KRTAP20-1
CLK2
OAS3
SENP6
IL17F
GPR25
MLF1
SRSF11
C3orf84
QSER1
SCP2D1
HOXC10
CYP7A1
CYP11B1
FCRL5
FMO2
UBE2C
PSMA1
GNG8
ZNF681
KCNJ10
TMPRSS11D
BPIFA3
LILRA4
XCL2
DNAH8
DSC1
IGFBP7
NF2
LCE2D
CD28
EML1
SYNGR3
AKT3
SLC25A28
BRICD5
MAGEA9
YAP1
MYB
ALDH3A1
PLOD3
CDC42SE1
SMLR1
OR5C1
CCR5
OLR1
SSTR3
MAP3K13
UBA52
AMTN
FTHL17
DAXX
NCOA6
SPNS3
AGPAT2
ANLN
CNPY2
PATL2
LOXL4
ADIRF
CCL22
IL17REL
PCGF3
ICOS
CDK17
TCEAL4
DNAJC18
TLR8
GZMK
NMRAL1
TULP3
BAIAP3
FAT2
HLCS
PRX
TSPO2
CSAG2
GDPD4
RB1
SPATA18
IDO1
OC90
CCL17
FOCAD
MT1X
DEFA6
EID3
CREB3
CEP170B
OR6K2
AK8
C16orf82
ACOT9
HMGB1
PECR
ZKSCAN8
KDM6B
PHACTR4
IRX4
E2F1
BRD4
EEFSEC
SERPINA1
CHCHD7
UTS2B
CMBL
TNFRSF11B
COMTD1
GOT1L1
IL21
MYCBP2
FGF11
FBXO3
SERPINA10
PTTG1IP
TRPM2
HDGFL1
WAS
AGTR2
C11orf96
PRDM14
F2
RALGAPA1
C12orf42
ELMO3
NPHS1
VCY
SPRR2E
RNASE7
PTGFRN
CREBRF
SPRR4
SPANXN5
BIRC7
RALY
PPM1H
ABT1
KRTAP9-3
EDARADD
APLP1
CAPN12
CT47A7
OR6C74
SNTB1
FASN
AC002456.2
LYPD4
CCL25
EIF2B5
NFKBIA
SMIM6
HPDL
LASP1
GPR137
PPP4R1
C1orf226
HOXD11
CCND3
BOD1L2
ANKRD54
LAX1
JTB
PSMB11
CLIC6
TIFAB
OR5P3
KIF25
SF3A2
RETN
OLAH
SGK2
SERPINB13
TRAT1
HEY2
ONECUT2
CASQ1
RNASE11
LYPD5
LPAR3
KLRB1
PTCRA
SLC9A1
SCGB3A1
TRAPPC6B
CBWD2
LRRC8C
FAM71F2
GLT8D2
ANKRD60
NUP85
CYLC2
ACCS
DAG1
TSPY3
ARSH
RNASE3
MBNL3
FHOD1
GLS
GPR61
AQP3
MAP3K12
CXCR6
SCGB1A1
CXCL10
ARSD
TBX22
DDR1
EBI3
MRPL36
LALBA
SRF
DNASE2B
ERICH1
DPP4
KRTAP4-4
DGKD
TPT1
SLC23A1
CCDC103
PLCB3
MUC7
C7orf33
CDY2B
POR
POFUT1
IQCF5
LAMC3
LDHC
LTA
DYRK1A
PLA2G7
LCE4A
MS4A2
NUGGC
HNF4G
CDSN
LILRB5
PPP1R9B
PTBP1
GINS3
DCAF8L1
ABCC3
PRKCB
OR7D4
BCL2L1
ADPRHL1
RNASEK
EIF4ENIF1
TP63
NKX6-3
ZNF391
FAM187A
IFIT1B
CHST9
GAPT
FCN2
HCRT
GLYATL3
CATSPER1
TBX21
ZCCHC13
AMOTL2
ARHGAP9
CHSY1
THEMIS
NOL4L
RP1
CHIT1
RIPK1
CTSG
LCE1F
PGM2
ARRDC5
CNBD1
LDLRAD2
C6orf201
WFDC5
DTNB
ZNF705D
KRTAP9-2
ADAMDEC1
IFNL2
KRTAP6-1
KIR2DL1
AURKA
OR4A5
DEFB115
CD63
TDRD3
RPL37A
OSTM1
GPR15
FDCSP
TACC2
DEFB119
OR5M3
IDO2
SPATA31A5
SLAMF7
OR5H14
NR2C2
CYP4X1
KRT27
CD83
FXYD3
TEX13A
PRY
LMO2
USP17L8
CLDN14
NDUFA4L2
DUSP7
HOXC8
SLC35G6
RPL39L
SIRPG
ST6GALNAC2
DEFB104B
PRRT1
FOXO3B
OAF
IL9
DCAF4L2
OTX2
FXYD2
AP1B1
OR1E2
CSH1
IFNA7
HMMR
DUSP21
RAD51C
OR52J3
FCRL2
GMIP
SPATA2L
NGEF
HHLA1
LELP1
INSIG2
AQP11
PPIAL4F
TSPY2
ABCD2
L3MBTL1
PNMA2
OR10T2
EPHA2
DCLRE1C
PKD2L1
PAH
MCM3AP
CNR2
COL6A5
KLRC1
KRTAP19-2
MMRN1
PRR14L
RBM15
CALU
FCHSD1
GPR33
SPI1
SPZ1
TIMD4
SPRR2B
SDC3
INSM2
MAP4K3
ANKFY1
RAB3GAP2
SPRR2A
ETFDH
FSHB
IPP
CTTN
CD2
IFNA16
APOC3
TMEM213
FCN3
MED18
SDR9C7
HSD17B6
KIAA1191
SH2D1A
LCN6
FCAMR
HACE1
CCL1
PRODH2
CRYBG3
B4GALT7
IFNG
GLIS3
CD1B
SAFB
MS4A5
PICK1
LPP
APOA5
NFYA
KRTAP19-6
SLC7A9
TRIM69
KLK12
SIGLEC1
ST8SIA4
SCCPDH
DDIT4L
SPATA31A7
RIOK1
CSTB
ZNF330
FN1
LEMD2
CYP4Z1
SRD5A2
KRT82
BCL2L14
SPIC
CYBA
SERPINA12
PTGS1
SRY
MDC1
XCR1
OR51D1
RIMBP3C
KRT6B
KRT31
CMTM7
FCRL6
RNF17
PDZD11
C1orf68
LUZP4
FXYD5
RBM39
CLEC10A
ADAMTS9
ITGA4
KCNN1
HEATR9
FBXO6
FAM50B
LRRC8B
MRGBP
CNTN5
RAMP3
CYLC1
NXPE4
NFATC3
LARP6
PRRC2A
OOSP2
GIP
UGT2B15
RPE65
D2HGDH
LTC4S
TOP1MT
DUSP22
CD3G
VCAM1
MATN3
TEAD1
CXCL11
RPL35A
WFDC10B
CPNE1
GJE1
LCE2C
S100A7
CFLAR
CRISPLD1
AWAT2
PRR23C
FCRL1
AP3M2
SPATA31A3
SLC16A9
GRAMD4
BCHE
MRPL16
FARS2
KRTAP9-9
FCGRT
TRIM39-RPP21
STPG1
TKTL2
CRLF1
LCE3C
CCL18
SMCO3
CHL1
ROR1
MOCOS
ERGIC1
CD1C
WFDC12
CIB2
PLEKHH3
RARRES2
OR9G1
KIR3DL2
GPR171
WDR64
SLC2A1
PFKFB3
TOP2A
HMGB4
RIMBP3B
GABRB2
CD226
ANGPT1
BMP15
DDX39B
RNF168
ZNF579
ZAN
ODAM
TMEM139
RNF138
ZNF436
DBT
ARFGAP1
CLEC17A
MAGEA2
SMARCA2
TM4SF4
CT47A6
SMIM23
SUSD6
ZBTB21
DENND6A
CSHL1
SLURP1
EXOC3L4
LGALS2
SLC22A9
SEMA4G
PSMG3
BTLA
FAM47E-STBD1
TMEM202
PER2
ANKRD55
CT45A8
SNRPE
EFNA3
KCNA5
CACFD1
SETBP1
PCSK1N
KCNJ15
BLVRA
CLEC4E
NDNF
CDH6
CISH
TDP2
C16orf78
OXTR
CENPI
THAP5
IL4
MPV17L
MSTO1
GPR174
KIF23
NCR1
PRM1
LCA5L
OR9G4
IRX3
PRM2
KIF18A
NT5C1B-RDH14
TNFAIP8L2
SHC2
CWH43
OR2AE1
ALPK2
COL6A1
HMGXB4
SLC6A9
IKZF1
TEX36
SMARCD2
SCN4B
ABHD12
WFIKKN1
KRT25
DEFB118
ELOVL5
DCD
NOL12
CRTC1
GALNTL6
ZNF114
PPIC
PRR29
EAF2
ZNF57
IL17A
GPR148
COX4I1
ARL5C
FAM83D
ANKRD62
CEP295NL
FAP
COX8A
GDF2
EFCAB1
SECTM1
ATP2A2
TTR
MAGED1
FGFRL1
SPATA31D1
TNFRSF9
KRTAP9-6
ALB
OTOA
ITCH
PAGE3
CA5A
SMAP2
RHOXF2B
NOS1AP
LRP5L
BAZ1A
NCKAP1
C1QA
SLC8B1
MMP15
CRCT1
OR5P2
GALK1
CXorf38
CYSLTR1
SH3PXD2B
CRTAM
KLK15
PRKCG
CLEC9A
CACNG6
RASGEF1A
FAM24A
SATB1
AICDA
DBR1
MIER1
RPL38
ID3
CD8B
C1GALT1C1L
MAGEA6
ARHGAP15
LRFN4
NDUFB4
MADCAM1
GFPT2
TOX3
IFNL1
OR5AK2
LY86
TEX11
ZBP1
C12orf54
WFDC13
MFNG
RPL37
FAM71F1
RALGAPB
GNPTAB
OR9K2
SERPINB3
WWTR1
TCHHL1
GRAP2
HRG
ATP1A4
FAM186A
TTC23
SULT2A1
TBC1D22B
UBASH3A
UQCRH
RIMS2
CCND1
IGFBP1
ZNF251
TSPAN6
LRIT1
TSPYL6
TNFRSF13B
ZNF518B
EBPL
SLC15A5
TSPY1
SERPINB4
MMP24
CSAG3
GGT6
SERBP1
S1PR5
KRT8
ZNF598
CCDC148
GZMH
URB1
TMTC3
IVD
APLF
SPEN
REL
UQCC2
TPRA1
F8A3
HECA
RNASE12
HSPE1-MOB4
KDM2B
TOP3A
NT5DC4
TRIM48
GSTA5
RHBDF1
HAUS4
PRG3
CXorf58
DEFB4B
CNTNAP5
TRIM42
ACSM2B
LCE1B
MSX2
PRPF4B
SMR3A
IFNA14
ADAM7
KIR3DL1
STX2
MYRF
LCN12
PRR20E
PPIAL4C
EPB41L4A
NPFFR1
CNIH4
USP17L19
POTEJ
UQCR10
OARD1
OR51G2
OR6B1
CLHC1
LCE1A
TOMM6
ITPRIP
FANCE
HMSD
OR4B1
PRAMEF14
LYRM1
EOMES
CA3
SPRR2F
NT5E
NMS
COPG2
GC
IL4I1
TEX26
ZDHHC18
SPHK2
SLC30A6
CALML5
IL1F10
KIAA0895L
TYMP
BPIFA1
LIPK
KIF13A
PDP2
FAM83F
CD79A
UBA5
POTEB2
SLC8A2
GAS2L1
OR8H3
TCL1B
KLB
FYN
LAPTM5
TMEM155
LAMB2
HUS1B
KEL
PRIM2
NAIF1
TMEM52B
WNT4
ANHX
TRIM64
KRTAP22-1
CYFIP2
SLC10A7
MCEMP1
SDC4
PADI1
GRIN3A
LCE3D
ELMO1
COL8A1
OR6S1
P2RY13
ELAC1
POM121L12
TIMP1
MYOF
TSPAN3
DNASE1L3
PLEKHD1
IFNA2
PTGDS
TSPY8
MAGEB5
P2RY8
FEM1B
PTPN7
CD8A
PPY
KIF3B
C12orf40
OR5B3
EPS8L2
IL26
CAV2
CH25H
HS3ST5
NEURL3
TIA1
WDR18
UBD
PPIAL4E
FMO3
EWSR1
PMP2
CTSZ
MAGED4B
LCE2B
CCDC7
OXR1
GRHL2
B3GAT1
PDCD1LG2
CXCL13
PNPO
ATP2B1
KLRD1
SLAMF8
ARL4C
TPM4
CYP11B2
GGCT
GNL1
SH3BGR
LAMP3
ZBED4
CPSF4L
TRNP1
FASLG
ITPKB
ANKRD65
MYADM
TWSG1
DCAF11
ITGB5
MNDA
RAVER2
CYB5R4
FAM155A
CMKLR1
ABCF1
ARHGAP30
CNGA1
DCBLD2
CNBP
OR2T35
LY75-CD302
SCML4
FOXP3
C12orf75
OR8H1
THAP11
KRTAP12-1
RHBG
TSPY10
MAP4K2
LIN28A
PGLYRP3
PIGG
MPV17
TNS3
TLR10
HOXD13
GAL3ST1
RAB38
CD53
CCL4
GOT1
INTS10
CXCR2
AMPD1
EPGN
KRTAP17-1
GPD2
SBK2
ATP8B4
DNAJC12
PARD6B
SPAST
ZNF683
KBTBD6
RPS28
GSPT2
KRTAP19-3
KYNU
CLRN1
TET2
OR6C3
CCR6
WDR13
TRIM13
ACACB
HNRNPCL2
HOXD9
SPHK1
OTUD6A
CLIP1
SPAG11A
TMA16
TFIP11
NR4A3
CLCF1
OR5B17
MGAT4B
PHF5A
MT2A
SLC16A2
METTL7B
NR2F1
CAGE1
PDE4B
PSMG4
R3HCC1L
OR4M2
PNOC
PGF
TICAM1
SMIM13
LRRC72
UBE2U
AMBP
EPM2AIP1
SFXN1
SPIN3
LGALS7B
KIR2DL3
CEP55
CLEC6A
PHF7
PPP2R5D
SLC35D2
JARID2
DAZL
LUZP1
STATH
S100A6
C5orf49
HCLS1
RALGPS2
SHMT2
TMEM244
PIK3AP1
HEPH
CD200R1
POLR3K
ORAI2
TMEM106B
MAGEA3
TEX37
C6orf136
LAG3
CAPNS2
RASA1
DNAH9
FCRL3
DNAJC5B
CENPO
CLDN8
SHMT1
CCL27
PNLIPRP3
AKR1C2
SP7
PRAMEF15
KRTAP24-1
KLRC2
KRT18
SPAG11B
KLK9
TFDP1
HSPA1L
KRTAP6-3
AMOTL1
ERVW-1
LHX2
LRRC49
IFNL3
KRTAP13-2
CANX
ASAP3
CAMK1
PGLYRP4
PARVA
SKAP1
SERPINA9
TPX2
APOC4
OR2J1
CD40LG
CDX4
LCP2
LECT2
LCE1C
HTRA4
PRY2
RELL1
RBMXL1
SSBP3
LYSMD3
ASXL1
LILRA2
CELA2B
MPDZ
TPST2
PLXNB1
PCID2
CALML3
ISG20L2
KRT26
TRIM26
HPGDS
SPRED3
IL27
BDKRB1
NR1D2
RPS2
OR10X1
RRP1B
CST4
RPL10L
GZMB
DEF6
OR2T1
CETN1
DPEP3
ASCC2
GTSF1L
GMFG
GOLT1A
GABRR3
CARD6
TGM2
EPHA10
NOTCH1
ZNRF4
NDUFS1
TSPAN31
POMGNT1
RFPL4AL1
NANOGNB
SH3BP1
MORC3
SIK1
PROK1
ACSM6
DPPA4
POU4F3
ITGAD
AKR1C4
GNLY
BCL11B
CEP19
SH2D1B
TTC23L
PAX3
CD5
SLC10A6
PDCD1
PZP
OR10G3
AKIRIN1
USP31
RFWD3
ISM2
MBD3L2
APOH
ST8SIA6
RPP21
TTLL12
ANKS1A
CCR4
ACKR2
SARM1
KRTAP9-4
KRT5
MTA2
ENPP1
NSUN4
OSM
CHADL
BMP3
SGSM2
DEFB104A
PMVK
GUCA1C
MAGED4
CLEC1B
TAS1R1
TRAF3IP2
HKDC1
LACRT
SNX5
IL12B
SLC39A2
CYP19A1
CHEK2
DOT1L
CGNL1
PRR23A
ODF1
STOML1
HOXC13
RGS21
LGALS16
ARHGAP29
FRAT2
SEH1L
A2M
RADIL
EFHC2
TRPM6
KRTAP9-8
NCKAP1L
SIGLEC8
FAM169A
TRPV1
PTGDR
NKAPL
LCE6A
CBR3
BRINP3
GFI1B
KRT1
MAP3K6
SLFN12L
GFPT1
SERPINF2
TGFBR2
PROSER1
C16orf89
DAPL1
SOX18
ZNF750
TRIM60
WFDC3
GFOD1
EIF3A
KLHL2
MIPOL1
OR3A3
MFAP4
MBD3L5
TNIP3
AGFG2
PYHIN1
NLRC3
TBATA
MMP27
MMAB
WFS1
USP17L20
UBFD1
HERC1
UBE2G1
GPX8
FOXD4L3
PRAMEF6
CDH12
MYBPC1
RPS11
LIMD2
USB1
BPGM
PPIAL4D
CEACAM1
MOSPD1
OR8J3
SPANXN1
DUOXA1
DSG3
ADAM2
BEND7
PLA1A
HRCT1
CD5L
STARD5
DEPDC5
CD22
PRAMEF5
OR5M9
PITPNM2
VAV3
PLLP
KRTAP19-7
LCE3A
IL33
MYLIP
MUC12
NEK5
CPLX4
SETD7
EDNRB
BPIFC
PLA2G4C
ZBTB32
SORD
PROK2
KPNA3
PSKH2
PTH2
CABIN1
KRT6C
PGR
KRT36
TJP1
GPR82
CLNK
BOD1
NDUFAF3
IL1RAP
SPRR2G
OR5M8
ARHGEF28
HCAR2
CD6
ZNF444
KLRC4
LIMK2
KRTAP11-1
KRTDAP
CDC14B
NFIC
ERCC6L
CD19
MARK2
FOXJ2
FAM114A1
ARGFX
ABCC11
GPHA2
KLRC3
SRRM1
CXCL14
ASCL4
LYVE1
AEBP1
RAB42
CSTF1
PPIL1
KIAA1328
NMNAT2
MIB1
TIGIT
ATP13A2
NLRP9
CHMP4B
KREMEN1
DLD
TCTEX1D1
OR51B6
GLI1
PPP1R11
GZMM
TAF11
CDADC1
MLLT1
CR2
RPL11
GK2
MS4A1
SIDT1
RTTN
MOB3C
CCR8
FABP3
SPINK8
DDIT4
RPS6KA5
SMCR8
NASP
SMCHD1
PHC3
SAMD3
SERP1
TTLL5
S100A5
IGFL3
CUEDC1
NANOS2
GFOD2
S100A8
SIN3A
KLHL8
RUNDC3A
PLA2G2A
ZNF235
PTPRH
ZNF30
XCL1
CR1L
MT1HL1
TRIM64B
TXNL4A
BBOX1
SVOPL
UGT2B4
CLCA2
OTOF
NCEH1
FCER1A
MMP13
ODF3B
VRTN
ABCA7
SLC25A19
FABP9
DACT3
CSTA
FAM151A
PRSS23
CCR9
CBX7
EDEM2
PMAIP1
KRTAP8-1
SLC26A1
MANBAL
GMEB1
RASAL3
HEY1
DEFB105B
B3GNT7
TNFRSF17
IQCF2
F13B
TMEM179
TBC1D7
TCL1A
GIMAP1-GIMAP5
SQSTM1
MAGEC3
SIGLEC11
TIMP2
RAB23
SERPINA7
HNRNPCL3
OR10R2
CPN1
VAPA
RPF1
PRR20C
