AGER
PLOD1
RNF17
GPR33
LUZP4
KIAA0930
TMEM117
IAPP
KIF23
SMAD2
C1orf146
STAC2
HCFC1
ARL5C
PRY
IDO2
ACSL6
TEX13A
KRTAP6-1
CXXC1
DRG1
EFCAB6
MAP4K5
CSH1
OR5M3
C1orf68
DNAH6
SPIC
KLK12
HSD17B6
C18orf21
C9orf72
SPZ1
SPRR2B
KCNG1
MMP7
SPRR2A
ETFDH
CDH7
NNT
OTOA
KRTAP9-6
SDR9C7
MS4A5
SPATA31D1
SPATA31A7
OR5AK2
PSMB7
SPRR1B
PPIL2
NFATC3
RHCG
KRT82
LCE1F
CLDN22
PLA2G2F
WFDC5
LIPN
KRT6B
DCD
SOX14
PTPN6
C16orf71
ERCC4
SFXN3
BRD1
RPP38
MCFD2
CCDC117
CDK5RAP2
NCR1
GAGE12E
HEXB
AP1S2
CWH43
HMGXB4
PES1
IFNG
NR1H3
DHDH
GAS6
PRDM15
FCRL2
IPO7
ZSCAN16
ZNF705D
ZNF479
HHLA1
KIFC1
DPY19L3
PPIAL4F
MYO1D
TSPY2
PAH
KLK13
MCM3AP
THBS1
CNGB1
PRR14L
TMEM95
AAMDC
ATM
HBP1
IRAK2
SPATA31A5
DEFB104B
PRRT1
DCAF4L2
OTX2
OR8D4
OR14A16
SLC6A14
CCDC102A
GIPR
OR2L5
AKR1E2
TAB3
SLC35G3
TREM1
PRM2
OR4A15
KRT25
EXOC3
GPR148
DNAJC21
EPHX3
DUSP6
ABLIM3
STAT1
HSPA1B
NUTM2A
DEFB118
TYRP1
DUSP21
IFNA7
OR52J3
RGS7
COL1A2
PPIC
UPF3A
GTPBP8
MESP2
TKTL2
GPR39
RBBP9
LGALS2
OR5P2
REV3L
BIRC3
CRCT1
NECAB2
SLC6A16
MBD4
ASIC3
PAGE3
TNFRSF9
SOGA3
ZNF280A
RTCB
RETN
C18orf25
GREB1
ANKRD54
BBS1
MT-CYB
CD8B
GPR119
NDUFA4L2
CXCL11
OR10T2
KRTAP19-2
TMPRSS11A
PATE2
TGM3
IFT74
RIOK1
CES1
IGSF3
KRTAP1-3
FSHB
TAB1
DDX18
CCIN
SPI1
ATP4A
PRODH2
ZNF583
INHBE
TSC1
RTP3
VCY
ABCB5
CETP
TBC1D22A
POLR3E
TGIF2LY
GIP
TUBG1
HSDL1
KLRC1
EPHA2
LELP1
SPRR1A
BCL9L
UBA1
RP1
THEMIS
AMOTL2
ZCCHC13
SBSN
ADAMDEC1
ENDOD1
MOB3B
DSC1
GTF3C1
GIMAP2
SNRPB2
RPL37A
PHOX2B
OR51D1
XCR1
BPY2
CPA5
OR5M10
SLC25A11
RTN1
AICDA
DHRS4L2
TFF2
CCDC82
DNAJB5
TIFAB
ZNF823
AKR1B15
ASAH2B
LPAR3
SERPINB13
P4HTM
PPP1R9A
ARG2
MYL9
CREBZF
MSANTD4
GLIPR1
STX12
CDSN
SPINK7
OCM
ENO3
NPAT
LCE4A
ANKRD18B
SNN
SH2D4B
PSMB11
BOD1L2
GPR31
KRT28
TDP1
MOV10L1
LTB4R
SLCO2B1
FAM227A
MAGEB3
MRPL48
IL36RN
NSUN3
URM1
CARD16
MC2R
S100A7A
KANK1
SPRY2
RAB29
TAF7L
TSPY3
CTNNAL1
BATF2
RPS6KA1
PTCRA
ZP4
BCL2
LIF
DBI
ACY1
OR6C74
CCL25
EVL
CNTROB
GAGE10
RNASE7
TMPRSS11E
SERPINA10
ITGB2
ADCY7
WAS
KRTAP9-3
IFNAR1
POLI
OR8J3
RTN4IP1
SMPX
P4HA2
OR4C12
MUC7
CD22
PRAMEF5
CTSV
OR3A3
IFIT1B
C12orf57
SPRR4
SNX27
KRTAP4-4
LGALS7
R3HDM4
HSF5
LIPA
FAM95C
CD36
KISS1
KRT16
PER1
RNASEL
OR6K2
RBM7
CPEB1
TAF7
