PRY
KLRG1
XKR9
ADAD1
MAP4
TEX13A
DNAJC28
KRTAP6-1
STARD13
CXCL13
EXOSC9
FCGBP
OR10AG1
MUC13
PPM1M
WFDC5
VILL
ATP6AP2
ARGFX
MORN5
ZNF705D
PRR16
PDPK1
KLRC4
CEACAM5
RPL21
IAPP
MBLAC1
PLEKHG1
MPPED2
RHOXF2B
KRT82
SPIC
DBX2
C1orf68
CNTNAP4
DEFB1
GCK
CXCL3
ANKRD66
STAC2
CACNA1A
CSNK1G2
KRT31
TAF5
RNF17
GPR33
LUZP4
FAM135B
TDRD3
TBC1D9
LIPK
BPIFA1
USP17L8
L3MBTL1
SGMS2
UCK2
PPY
KIF3B
CD80
UBE2D3
MED4
PODNL1
DCD
AGO1
ENAM
AP2B1
IHH
AMY1A
BRD1
RPGR
TNS4
FAM83D
CCDC153
MAGEB3
DYDC1
HNRNPA1
SH3TC1
LIPN
FAM227B
ST3GAL1
DCAF4L2
RAET1E
MFSD6L
C12orf65
PAH
GRIK5
CBLN4
THBS1
CYP11B2
MCTP2
PLEKHD1
PEBP4
KIFC1
TUBGCP4
NDNF
VPS36
HOXB8
OCSTAMP
TPP2
ZDHHC5
ST6GALNAC2
DEFB104B
ELP3
ATOH1
CTSA
IGFBP5
EFCAB1
AXDND1
SLC30A6
TMPRSS11A
PATE2
DUOX2
PIP5KL1
EEF2
NKD2
SSX3
TGM3
SLC27A2
CAV1
PLK2
PCGF5
IGSF3
BBOX1
CEACAM18
APMAP
SARNP
FSHB
MAP2K6
IL9
UGT2B4
UNC93A
MANSC4
NXPE4
APLNR
LARP6
POTEH
AMN
TCF3
TEKT4
PDZD11
OR51D1
RSC1A1
CHSY1
SRY
SRD5A2
GUCY2C
NAGK
B4GALT7
RAD51AP2
TCAF2
TMEM14A
SAMD7
NAV2
TPPP
FN1
XCL1
KRTAP9-2
KRTAP13-4
GIP
TSPAN19
AGPAT1
MADCAM1
ATP4A
RPS5
INSM2
LCE3D
SPRR2A
ARFGEF2
SMPD4
UGT2A1
SDR9C7
MS4A5
SPATA31A7
NUFIP1
SOX4
TTR
TBC1D20
PDIK1L
TM4SF20
SPRR1B
DIRAS3
GCNT2
UGT1A10
IL1RL2
CPXM1
EFR3A
MTTP
C11orf21
USPL1
PCDH18
PTPN1
RTP3
VCY
FCER1A
TPSAB1
ZCCHC2
ABCB5
MEA1
PSKH1
ANP32A
VSNL1
CD1B
PRODH2
UBTD1
TMEM230
KLK12
PALD1
BTNL3
ANKRD6
KCNE3
PPP2R3A
AMMECR1L
SPZ1
SPRR2B
ACTR3
GEMIN4
SNRPB2
SMOX
PFDN6
CYP11B1
PLEKHA5
MEP1A
PDE1B
HTR2C
MAL
PDE4C
PCNT
KCNJ10
TMPRSS11D
BIN3
ACSM6
IL2
PDE7A
CAPN13
