ETNK2
ADNP2
C9orf64
LRTM2
TSR1
SETDB1
PLXDC2
TRIM60
CD5L
ABLIM1
RPL32
AGAP2
DUOXA1
SPANXN1
ARHGEF1
KIAA0825
WDR74
NABP1
NCKAP5L
PRAMEF8
SDC4
USP17L20
ATP6V0E1
ZNF432
OR5M8
PLAA
MCHR1
CHD2
ZNF750
INMT
CFAP36
COMP
GALNT3
ANKRD34B
ZBTB32
SETD7
LCE3A
RPS3A
ZC3H7B
CLNK
BOLA1
FAM114A1
GUSB
NAT14
KLRC3
HOXB2
VWA8
C12orf42
PRDM14
HPDL
IQCF5
AXL
C7orf33
ICAM4
OR52R1
TPT1
MYL4
FHL5
HTRA3
BCL2L1
OGN
PRKCB
KIF3A
DCAF8L1
ZNF512B
THUMPD2
TNFSF13
GJB6
OMP
CCDC34
HNF4G
PF4V1
EVA1A
ZBED8
DEFA6
SYTL2
BFSP2
ABHD8
ZFAND2A
KRT78
EXOSC2
CEP170B
PPBP
MSRA
TCEAL4
SUPT16H
BACH2
VAV1
SMS
SEMA3G
GDPD4
SYCN
GLP2R
OR51A2
NPY
MEDAG
IQCJ-SCHIP1
IFT43
ACVR1
OR10G3
ACKR2
ASPN
MTHFD2
PYGB
RPTN
HK2
PKP1
SSC4D
VEPH1
KRTAP11-1
TCF19
NPR1
PRR23A
KRTAP2-3
ANKS6
RPL15
SLC39A2
IL12B
KIAA1549L
GRAMD1B
POLR2D
SLC2A9
OR10R2
RPS27A
RPL8
PRG4
PACSIN3
INSR
CCL23
KERA
IMPDH1
KIF18B
MUCL1
BAD
NEUROG1
ATP6AP1
PRR9
TMEM119
OXA1L
PDCD4
RNASEH2B
CPA2
CSRP3
NAALADL1
TBC1D30
PLA2G4E
CERS4
SLC27A5
ABCF3
ANKRD7
ZNFX1
NANOGNB
CLEC5A
C1QTNF7
RFPL4AL1
POMGNT1
SIRT2
RBPMS
TRIM29
TNMD
PPP1R15B
PPP1R37
DET1
RERG
AHCYL2
OSM
CEBPZ
ADAT2
