CST8
CRLF3
SCN5A
CELF3
TMCO6
ACTN4
SLITRK5
ZNF512
GLYATL3
DHRS11
TRIM64C
CDC40
CHRNA7
C12orf73
ZAN
KCNH7
ZP4
CLCN7
ARFGAP1
ZIC5
SERPINB9
FAM83C
TSPY4
C3orf14
SUZ12
CCDC71
SENP6
ISG20
ANO7
AMY1A
GPR143
LST1
MAGEB3
LCE2D
DDX4
GABARAPL2
FBXW9
FBXL13
KRTAP9-7
GOLGA7B
DPPA5
RAB22A
HABP4
BLMH
S100A7A
TMEM202
BAALC
ADRB1
WFDC12
AP3S1
DCUN1D5
OR5P2
BIRC3
CRCT1
PRPS1
POLD4
ESR1
BSPH1
MTMR8
FAM171A1
CGB5
JAK1
PAGE3
KLK15
COMMD6
CKAP4
SERPINB6
MIER1
LPIN2
RPL4
SUGT1
TRIM67
SEMG1
OR4S1
TMEM209
RHEB
IPO5
RAD50
SLC25A31
SPATA31A3
ZNF445
CACNG3
SPINK14
S100A7
LCE2C
CD207
WDR48
AP3B2
SPRR3
ALKBH8
OR9G1
ASB11
LDHAL6A
SRSF1
HOXB1
BPIFA3
GALNT5
RAB17
CCDC71L
OR5AR1
TROAP
ST3GAL5
CNPY3
PRAMEF12
SRF
PET117
OR4X1
KRTAP12-4
NKX6-3
HMGCLL1
FCN2
ZNF679
MEGF6
SHROOM1
SUPT7L
PDZK1
CDK5RAP1
RAET1L
FXYD4
POFUT1
IQCF5
RHOXF2B
CCNDBP1
MYZAP
KRT78
DNTT
SLC17A2
CENPN
COL17A1
PSMB10
TLR8
COPS2
VPS16
ZNF133
ANKRD23
NFE2
LY86
CNPY2
TAMM41
FAM205C
RFX6
DEFA6
PF4V1
BSND
KDM1A
DCTN4
PLA2G3
ZNF607
RBBP6
SLC25A43
RPS13
CXCR1
DSG1
SLC30A8
CST9
GDF1
S100A12
CTSA
RBFA
AADACL2
KRTAP4-3
FAM177A1
KRTAP12-3
HCAR3
C17orf99
TMEM120B
TRAF1
TUBA3C
C16orf95
GPR119
C19orf38
SULT1C3
APPL1
MAP3K14
SCGB3A1
FTHL17
ZBTB38
OR2A12
ADGRG3
OR7C2
EFHD2
IMMP2L
SLC5A1
EXD2
SLC16A7
SMARCA4
SF3B6
TRIO
RHOXF2
NAA20
SSR3
SHD
PLA2G2D
TRMT2A
MAGEB16
SYVN1
EPHX3
MYOM1
RNF17
LUZP4
IL36A
OR5M3
PRY
RGS5
TCEAL1
TEX13A
SEC23B
PRR20D
NBPF4
PCDHB1
C11orf98
STARD13
TANC1
ALG3
LCE1F
CAMSAP1
OR10AG1
KRTAP6-1
PCCA
STAC2
CNTNAP4
SPRR2A
SDR9C7
MS4A5
BFAR
SPATA31A7
MRPL44
ITGBL1
CCNG1
RBL2
CYLC1
NFATC3
DHX32
KCNA7
CAMK2A
PMPCA
KRT82
SPIC
ELF4
SERPINA12
C16orf82
C1orf68
HPSE
CLNS1A
PPM1M
ZNF705D
ZNF354C
FAM71C
CACUL1
EIF2S3
R3HCC1
GAGE12E
PPA1
RBCK1
RBM45
FLOT2
ARHGEF12
DUOXA2
BSX
S100A9
CTAG1A
BRI3
S100A11
PRAMEF6
GTF3C6
FAM24A
CWH43
DTD2
CDK5RAP2
LAS1L
ZNF479
KIFC1
CCDC149
PPIAL4F
PAH
TMEM95
GHSR
ST6GALNAC2
DEFB104B
HERC2
DCAF4L2
LIPN
IL21
KCNK7
MGARP
PODNL1
DCD
CHTF8
SOX14
TGIF2LX
F2
WFDC5
USPL1
SPRR2B
SPNS1
ENC1
DUSP21
IFNA7
OR52J3
KATNA1
NDST4
EGLN2
PPP1R1B
RUVBL2
WTAP
OR10T2
PIANP
LELP1
SPRR1A
CWC27
KRTAP20-4
NBPF6
TBCK
PCDHA3
AIG1
KRTAP19-2
VWA3B
CALU
OR5T2
IGFBP3
CTSE
TAB3
SLC35G3
HSF5
ASMT
RPL34
OR9G4
KRT25
GDF2
ACLY
AMY1B
TMEM207
SLC15A1
HM13
ST18
PKLR
PRR36
DEFB118
NELFB
USP30
ARHGAP9
AMOTL2
CCDC134
ZNF692
PDE7A
CYP2F1
FSHB
SPI1
NAMPT
RNF8
CASC3
TGIF2LY
ARHGAP10
ALDOA
PRODH2
WIPF2
TMEM61
ABCB5
VAX2
IFIT1B
MGLL
ZNF140
CFDP1
KLK12
RND3
APMAP
TMBIM4
VPS33A
KRTAP1-3
HMBS
SNRPB2
