ARG1
ERGIC1
ROR1
RABGAP1
CCL18
LCE3C
FAM161A
MAGEA3
DUS2
MSC
KIAA0753
IKBIP
DLX5
BAZ1A
CA5A
NR1D2
OR51L1
MDM4
TTC6
BARX1
MT4
CRTAM
CELA2A
TUBAL3
KRT18
PLEKHH3
WDR3
PTPN13
NEU2
DDX20
CDCA5
TOP2A
FECH
KCNG3
ARHGAP19
LRCH1
CCNG2
CGA
GYPC
KIAA0100
SLC2A1
ARPC3
TMEM100
CCNB1
KIR3DL2
HSD3B2
NDUFB10
UCP3
DCP1B
ZNF501
FCGRT
PDRG1
ITGA3
FBLIM1
NME4
SPINK9
RTN1
IGFBP4
MAML2
CEP55
FXYD6-FXYD2
NDUFS2
S100A9
PRKCG
PALB2
TGFBI
CWH43
RHOV
ZNF683
NUDT9
CCR6
ASS1
DNASE1
HOXD9
KDM3A
TRIP13
CACNG6
GPR139
SLC44A3
ENDOU
AREG
ID3
RRAS
IFNL1
HRH1
GRSF1
ARHGAP39
CWC15
EEF1B2
LTBP3
PADI3
HOXD13
RPLP1
GCAT
CCL4
AICDA
HECTD1
ATXN7L3B
FAM24A
AP4B1
ESAM
ZNF746
APOC4
CA6
KRTAP9-9
TEAD1
BCAR3
MSMB
RPS19
PRIM2
POU6F2
CFL2
APOBEC3H
KIF2A
CFHR4
CCDC152
CLCA2
PRAMEF13
CPOX
SLC38A5
NAA60
ZC4H2
SYDE2
IL1F10
PAX9
PSME4
PLA2G4A
CCDC25
NLRC4
RPL3
KRT84
IL22RA2
UBE2I
OR2A5
OR1F1
C20orf144
KRTAP20-1
OR10G2
IGSF6
CD1E
QRSL1
KRTAP26-1
PRSS23
TRIM49B
PRDM9
PKHD1L1
SLC5A8
SOX9
CYB5D1
GPRC5A
GSTP1
NCAPD3
CARF
PIP
SLC24A1
OR4N2
ALX1
PKN2
CTSZ
ACOT8
FLNB
DIXDC1
PRAMEF2
BBS4
WDR41
USP22
FGD6
FAM78A
FAM47E-STBD1
HSPA1A
SERPINE1
FARS2
TM4SF1
ENOSF1
RUNX3
GRAMD4
PRR23C
NDUFS8
PCBP4
ELFN2
ZNF644
DOCK7
CENPI
BRD8
USP5
SIK3
GDF3
CATSPER1
SLURP1
SPATA12
APOA1
HNRNPF
WWC1
MATN2
NFATC1
EXOC3L4
B3GNT6
PTPRK
PTPN7
ME2
DNAJB4
CYP1A1
SHCBP1L
RPL10A
ZNF443
BMP15
TMEM253
CACFD1
FRMPD2
PDE11A
ASPG
PRM1
NCR1
STAC2
AMPD1
MUC21
C1orf68
SERPINA12
LIN7B
RPL18
TMEM249
CD53
SPIC
EIF4B
SLC13A4
THEM4
PLEKHG1
PGLYRP3
IL18BP
AXDND1
BPY2C
ASXL1
VAX1
PXN
IQGAP2
KRT82
KRT31
DEFB128
AGER
TRIM49C
IDO2
ITPKB
CCDC174
SLC16A4
PRY
GPR157
APOBEC3C
IL36A
IAPP
FAM131A
PSMD1
TMEM117
IFI44L
TDRD3
DEFB115
LUZP4
GPR33
RNF17
KRTAP12-1
TXK
TTLL1
OPRM1
PTPRT
BRS3
TRIM35
TM4SF20
SPZ1
HSD17B6
PRRC2C
NDUFB3
RND3
DQX1
PHYHIPL
CROT
SIGLEC1
OR5AU1
CST6
CETN1
PTTG1
IFI35
SMARCAD1
ETHE1
MGLL
FERMT3
CARD17
CDC20B
SEC14L5
REEP4
MDK
SPRR2B
SDC3
NFIA
GALNT4
BLOC1S2
CCNG1
HEATR9
ADAMTS9
NEB
FAM71A
LCE1C
BFAR
MS4A5
TXNDC2
SUMO1
SDR9C7
SPC25
ORM2
CD2
KLHL20
LCE3B
ETFDH
PRAMEF20
SKAP1
VSTM5
INSM2
CYLC1
ELAC2
MZF1
TCEAL1
NUP155
TRAIP
POTEB3
RPLP0
TTC12
DEFB104B
YIF1A
PIGY
CDKN1A
GSC2
DCAF4L2
BTBD17
RNPEP
SPIN3
TACR1
C12orf76
AAMDC
CAMK1D
TMEM95
PTHLH
SMIM13
MCM3AP
SIRPG
FXYD2
MGAT4B
SUCLA2
FLOT2
ARNT
TWF1
ADAMTS1
TRIM13
HNRNPA1
P4HB
DHX16
CAPG
TTK
PRAMEF4
COX4I1
GLMN
NCKAP5
SOX14
DCD
BIVM-ERCC5
GCC2
ELOVL4
UBE2D3
RPS28
NR1H4
HMMR
PAH
C12orf65
MFSD6L
AP1S1
CWF19L2
CHIT1
BEND2
MPG
PNOC
RGS13
DRG1
ZNF532
PARD6B
FOXP3
PTPRM
SCML4
TBX21
AARS2
IFNL2
C11orf24
OR1A2
ORM1
UTP23
KRTAP6-1
DIABLO
TBCEL
MYADM
ZSWIM7
ADORA1
PHF5A
LCE1F
RAD9B
ADCY6
GRPR
RPS23
PPIAL4F
PDE4B
PEX10
KIFC1
USP17L8
DICER1
ZNF705D
KIAA1210
SLC26A5
CTNNA3
NUP50
SULT1C4
WFDC5
PLA2G2F
TAPT1
KIF1A
OCIAD1
REEP1
ERVMER34-1
EXOSC9
CLPX
AKAP4
SLC27A4
PER2
BTBD19
LANCL1
EIF5A
WDSUB1
SUCLG2
GZMK
SDHB
DNAJC18
CARM1
PKP2
GRXCR2
ACTR8
RPL7
BTC
EED
TFDP3
IL17REL
SH3BGRL
ADGB
TUBGCP3
SLC19A1
OR5H15
SCO2
ME3
CDH3
GSTA4
RTL1
PFKFB3
PIKFYVE
CLASP1
CXCL11
FASN
MYL6B
CETP
LASP1
FOXN1
CT47A7
CLDN3
LMBR1L
KRTAP9-3
ABT1
FAM3D
ZHX1-C8orf76
FAM181A
PGAM1
CSF2
ZNF141
SPRR4
DNMBP
EIF2AK2
SPNS3
WDFY2
CDRT15L2
SNX31
SPATA18
DGKK
ZNF689
LAMC3
KBTBD7
EIF3L
RPL14
FGF4
ZNF736
SLC25A11
PLCB3
PSTK
TANGO6
IREB2
CPTP
ZSCAN18
UBE4B
COL27A1
KRTAP4-4
IRF2BP2
SEC24B
TCF7L1
CLK2
RNASEL
CSN3
ZBTB7C
CPA5
EEF1A1
SMIM15
CSAG2
ARL14EPL
SLC3A1
KDM6B
CDK7
KCNJ14
TMA7
NEURL4
PCP4
GALNT15
YTHDC2
CDC42SE1
EIF3F
HAND1
KIAA0232
CEBPZOS
DSC1
SPDYC
TRIM43B
GAGE10
KCNK13
RNASE7
OR4D9
ACADS
GAPDH
PSMB5
EIF3A
SPDL1
TSPY2
KRT33A
PARD6G
PIR
UBFD1
MYH1
PRAMEF5
CD22
GDF15
DDB2
CSH1
DLL1
SH3TC2
RNF225
DOK4
OR4C12
TAS1R3
RRM2B
FCRL2
CLCA4
ABI2
FAM50B
GTF3C5
MUSTN1
C19orf33
KRTDAP
MPV17L2
CD6
RPL27
ARHGEF28
GRIK4
COMMD7
GPR156
CYP4Z1
SPRR2G
UBXN10
ARID3A
NCF4
KRT6B
CMTM7
FCRL6
VAV3
KRT9
TRPC7
HSP90AB1
RPS15A
OR8J3
WAS
OR4F15
NES
MYEOV
RPL38
ANO10
MAGEA6
AEN
MICALL1
OR5AK2
HAVCR1
SERPINA10
KRTAP9-6
TEX19
LRRC41
C2orf83
TP53BP2
OTOA
ZW10
SHTN1
TUBA4B
CAPZA3
ACTG1
SLC6A12
ACY1
RALGAPA1
B3GALNT1
TOP2B
COLCA2
MFAP3
MELK
BNIP3
SLC30A9
GRB14
CDON
HOGA1
CEP295
KIF23
PLEK2
GIMAP4
ARHGAP6
USB1
UBE3A
EPCAM
SACM1L
DNAH6
DCTD
ELMO3
LMAN1L
TEX35
XG
DPP4
CDKN2A
STAT1
SERPINB11
OR4D2
JAG2
GSTA3
SPATA31D3
CXCL9
VPS53
SERPINB12
ITIH1
DCAF7
CPS1
PDYN
SMC4
ACSM6
BAK1
RPS8
MFN2
THEM5
YTHDC1
SNX7
HBM
KRTAP9-8
NTPCR
SRGAP1
BPIFB2
KRT5
POLR1D
TCF24
DRAM1
TECTA
S100A16
ARGFX
BMP4
HOOK1
IDUA
SMAGP
ZNF831
ASPM
C11orf52
PHACTR3
ARHGAP36
FBN2
PHLDA1
CHIC2
TRAPPC3L
ENO2
CLEC2B
CIRBP
VPREB1
RPL29
ZNF80
DIS3
GTF2F1
MUC22
FKBP9
CDH8
JOSD2
OGFOD1
IFI27
CDC37
YAP1
ATXN7L3
TTLL3
ZNF165
PI4KB
EEF2KMT
PITPNB
TCL1A
CELA3A
CLCN1
CCR5
ZCCHC3
ECT2
CTRB2
RIT2
INSM1
LCE2A
COX18
SCP2D1
CYP11B1
CCDC51
RPL7A
CLEC2A
CYP2B6
IL2
NDUFAF1
HKDC1
TXN2
DDC
TMEM102
GNA15
SSBP4
TBXA2R
TMPRSS11D
KCNJ10
ZNF681
GNG8
HADHA
GZMA
HIVEP1
PDE1B
FCRL5
TMEM63B
LILRA4
CD1B
THAP10
HDAC7
LILRB5
P4HTM
SERPINB13
FOXD4L1
LPAR3
CPB1
RCE1
FOXN3
GPR39
ACSS2
PAX6
TIFAB
CLIC6
PSMB11
MRGPRX1
ARSF
CDY2B
CCNI
F2RL2
CDCA8
HOXD11
CCL17
NXPE1
RNASE11
KLRB1
ANKRD54
PLD2
C2CD3
EBI3
LCE4A
SOX13
GALNT11
TP63
NPAT
HNRNPC
KLHDC7A
TIPARP
ZIC1
GSG1
ANKRD13D
TP53INP1
CMC1
ATXN10
IL23A
CCL4L2
KNDC1
CDSN
MRPL4
MSANTD4
MYH10
KPNA4
AVPI1
PTCRA
ZNF664
SLCO2B1
PVALB
NHLRC1
TRMT61A
APOC1
ACSM1
TNFAIP8
KCNB2
MOGAT2
PCSK1
NGDN
GPR31
LY75
ZIC4
RREB1
HOXD10
LIF
PIK3C2G
CACNG2
PRAMEF7
KRT14
RBMXL3
FAM118B
EMC9
KRTAP6-2
C12orf54
IYD
E2F1
SCGB1A1
ANLN
C20orf85
UTP14C
ARSH
CXCL10
TSPY3
PRKD1
PPL
TRIM22
ANKFN1
NCOA6
KPRP
DAXX
HDGFL1
RPL24
MC2R
SH3YL1
PPM1D
SAMHD1
ACADL
PDLIM2
RPS17
TNK2
LDB1
GPR135
GJB6
ZC3H11A
BIRC2
CRADD
METTL14
DCAF8L1
ZNF679
OR7G2
LGR5
S100A10
BCL2L1
GPR19
TREML4
OR5AP2
B3GALT4
PRSS1
DLX1
FXYD4
ATF7IP
FAM151A
CT45A7
FCN2
PPP1R9B
CDKN2B
RBMY1A1
TRIM64B
BSND
CRH
MYLK2
NEK2
TRIM43
UGT2B7
CCND3
CDK5RAP1
SDR42E1
ACMSD
SNX4
EFCAB8
IQCF2
TNFRSF17
IFI30
GCSAM
LYPD5
RBMY1F
PLA2G7
KRT24
KCNH6
RPL23
DACT3
ANKRD60
SH2D3C
SRF
KRT77
SYCN
RIPK4
PRKG1
CHMP4B
NAPRT
HACD2
GDPD4
GNAT2
ZNF627
TAGLN3
TIMM17A
STRN
FBXO38
ICOS
ATP6AP1L
PP2D1
RAB42
TLR8
SLC52A1
TEKT1
CEP170B
DOK6
DEFA6
WFDC1
CD209
PRAMEF12
TPT1
TROAP
IL36B
MT-ND4
AXL
MUC5B
GZMM
VHL
POFUT1
GDAP1
IQCF5
CEP57
ZNF563
ZBED8
PTK2B
NDUFB11
IFIH1
LIG3
RPS7
EIF4E2
C1orf226
IDO1
S100A8
OSBPL11
SCGB3A1
XCL1
FAM177A1
KRTAP4-3
FAM122B
AADACL2
SLC4A10
CBFA2T2
SLC30A8
TNFSF4
KRTAP12-2
DSG1
CIR1
UPK1B
FYN
IGSF23
CDH16
CDCP1
GON4L
MCM9
SULT1C3
PLA2G2D
FAM216B
HYPK
CXCR1
BPIFA1
OR8I2
KRTAP12-3
UBE2C
CENPF
BPIFA3
XCL2
INTS12
RPL21
TUBA3C
PDCD1LG2
TIMP1
LIPK
DZIP1
RAB39A
BAX
UTS2
GAS2L2
TWF2
SORL1
TRPA1
TCF25
FOXA1
C17orf99
HCAR3
PSG1
FRAS1
SLC28A3
PGK2
SHPK
CDC20
TMEM155
ZFP64
RAD1
ZCCHC2
MYH15
UNC93A
BBOX1
LTBP4
RPS18
VWCE
DUOX2
CLPSL1
AFF1
ITIH6
MEI4
ADGRG3
SCO1
ANKRD11
NUDT3
LCE1D
TXNL4A
NACA
CYP2C18
CREBRF
ZZEF1
HUS1B
ENSA
CLEC4C
SEZ6
LCE3D
MRPL2
CDC25B
PTP4A1
TGM2
VEGFB
DLGAP5
PPFIA3
SV2B
FOXM1
SPATS2L
BUB1
SLC9B2
C11orf87
PTH2R
CUL4B
SMIM22
CYFIP2
ZNF705G
PSMB4
CCDC90B
KLC3
SLC17A2
DNTT
MCHR1
TRIAP1
PZP
OR10G3
TXNDC8
KCNK5
IFT81
RPP21
KRTAP9-4
LIPG
FUT6
OR10R2
PDCD1
XIRP1
ANTXR2
SPRY4
EMC10
MAPK6
RBM14-RBM4
BICC1
NOTCH1
CD3E
RNF13
ZNF750
TARBP2
CCL21
LGALS3
CLNK
NDC80
KRTAP4-8
GAMT
RPS3A
KIR3DL3
CPA2
TJP1
LCE3A
CHAF1B
RAB1A
NSA2
ICE1
TMEM245
FAM83G
PROK2
TNP1
SHC3
KMT2D
CCDC88A
TUBA4A
DCAF4
LAMA1
CDKN3
RPTN
PDE6G
ETNPPL
RPL15
TMPRSS11F
WSB2
GPBP1
C16orf72
C3orf38
LCE6A
CBR3
RAB5A
SLC39A2
IL12B
SOX7
NADSYN1
CXCL16
LACRT
GJD2
PRPF6
SLFN12L
TGFBR2
CARD14
GUCA1C
SPDEF
SEMG2
KLRC3
DEFB104A
FRAT2
RBPMS
CFAP47
RFPL4AL1
CYP27A1
NANOGNB
SH3BP1
C8orf58
MARCKS
GLB1L2
BLCAP
SLC7A6OS
KRTAP11-1
MR1
CALCOCO1
TAS2R1
BLOC1S6
GCOM1
ATR
PI15
PRR23A
LDHB
NPEPPS
OR9I1
SS18L1
FMO2
LIMK2
OR5M8
DNAJB13
SH2D4A
SDC4
KRT17
PRAMEF8
SLC35D1
FAM185A
SLC25A41
BDKRB2
RPS11
KHDC1
DSN1
MIXL1
WDR82
MOSPD1
PRAMEF26
OSER1
RIBC2
ENTPD7
SPANXN1
ACBD7
KRTAP4-5
EIF4E
CCDC30
ANXA9
C12orf42
BDH2
KRT78
EDARADD
BFSP2
PRR3
LAIR1
CCNDBP1
PLS3
LYPD4
ATF4
LRRK2
RCBTB1
PTGFRN
C6orf52
TMEM45B
TIMM22
NAF1
MED28
RHOQ
ZBP1
SPINK8
PRDM14
FABP3
NMU
TNFRSF10B
AGAP2
ING4
ITGA8
CCDC65
RBP7
C17orf100
ADNP2
SEMA4A
TECTB
LRRTM1
MUCL1
USP17L20
UBE2G1
KRTAP10-8
TMPRSS11B
VDAC1
DCLK1
PIGH
C6orf141
BCL2L11
OR8K1
KLHL13
VWA8
PRAM1
DEFB136
LRTM2
DNTTIP1
TRIM49
DIRAS2
RPL32
GADD45G
RAB44
CCR2
EDAR
MT3
PACSIN3
QRICH1
RTN3
FBXO7
PLA1A
CD5L
PFN1
ANXA13
TRIM60
CCNB2
MUC19
C1QBP
MIPOL1
TM9SF4
RIT1
ID4
SPRED1
NHLRC4
CDK19
RING1
GPR25
DUSP7
NICN1
LONRF1
DAOA
NDST4
VAT1L
TOPBP1
ACOT4
DEFB4B
OR52J3
OR10T2
CIAPIN1
CPE
IMP3
DUSP21
PIGV
CD3G
ERCC8
LRRC10B
PRAMEF14
ANXA8L1
TMEM150C
MARK1
PLXNA4
TGM6
SPATA2L
THEMIS
RNF157
RP1
PGM2
RNF144B
RPL9
SMR3A
C1orf131
STMN1
LELP1
ABHD13
RBM15
IMPG2
PKD2L1
KLRC1
ABCC2
B3GALT5
LCE1B
KRTAP19-2
TRIM42
CENPP
OR4C13
TRAK2
WDR46
TAP1
TRABD2B
GSK3A
TRAF4
ADAM32
PLA2G12B
NYX
NOBOX
BBC3
MMD
CASP1
ZNF131
GDF2
IL17A
SLC25A15
STX6
OR9G4
RPL34
TMEM201
RHOA
PRM2
PROC
TREM1
KIF18A
CSF3R
KRT25
SH3BP4
ABLIM3
POTEJ
PAGE5
EGFR
CPLX2
VCAM1
DEFB118
SPN
EYA2
ATP8B1
RPL23A
FAM98C
IFFO1
CD69
ST18
BPIFB4
CD300LD
HSPA1B
TMEM25
EDA2R
CYFIP1
LHFPL1
SNX15
TAS2R5
TEX15
CEP57L1
NOC2L
AMOTL2
CLDN8
LGMN
SLC6A19
KLRC2
TRIM49D2
AVIL
C6orf136
PRR23B
TMEM106B
SARNP
CEACAM18
KCP
AP3S2
CES1
HPS6
RIOK1
TMEM244
LEO1
CHGA
CLEC10A
PHF19
CCDC172
SHMT2
MECP2
ISG20L2
ASTN2
PARP12
GZMB
PCDHGC4
FOXD3
RPS2
CCL1
ABCB5
IGIP
SPRED3
RACGAP1
DUSP26
ARHGEF11
PCOLCE
RPS5
APBB1IP
ZFC3H1
FCAMR
TRIM26
KRT26
COG2
C2CD2
DDX10
ATP4A
KRTAP19-6
KRTAP10-3
ZNF510
SLC6A15
EEF2
DRD2
KLK9
NISCH
OR4A5
JRKL
DOCK1
ACTC1
RPL37A
OR4K14
GDPD2
SUPT6H
ZNF263
RCOR2
FDCSP
PRDM2
GNB4
PNLIPRP3
OR5H14
KRT27
GLYATL1
