,DrugID,Drug,PUTATIVE_TARGET,MOA,DRUG_SYNONYMS,SMILES,repurposing_target
270,2169,AZD6482,PI3Kbeta,PI3K/MTOR signaling,"AZD 6482, AZD-6482, AK-55409",CC1=CN2C(=O)C=C(N=C2C(=C1)[C@@H](C)NC3=CC=CC=C3C(=O)O)N4CCOCC4,PIK3CB
271,2170,AT13148,AKT1,PI3K/MTOR signaling,-,C1=CC(=CC=C1C2=CNN=C2)[C@@](CN)(C3=CC=C(C=C3)Cl)O,AKT1
272,2171,BMS-754807,"IGF1R, IR",IGF1R signaling,BMS-754807,C[C@]1(CCCN1C2=NN3C=CC=C3C(=N2)NC4=NNC(=C4)C5CC5)C(=O)NC6=CN=C(C=C6)F,"IGF1R,INSR"
273,2172,JQ1,"BRD2, BRD3, BRD4, BRDT",Chromatin other,"JQ-1, (+)-JQ-1",CC1=C(SC2=C1C(=N[C@H](C3=NN=C(N32)C)CC(=O)OC(C)(C)C)C4=CC=C(C=C4)Cl)C,"BRD2,BRD3,BRD4,BRDT"
274,2173,PFI-1,BRD4,Chromatin other,-,CN1CC2=C(C=CC(=C2)NS(=O)(=O)C3=CC=CC=C3OC)NC1=O,BRD4
275,2174,IOX2,EGLN1,Other,"IOX-2, IOX 2, AK176060",C1=CC=C(C=C1)CN2C3=CC=CC=C3C(=C(C2=O)C(=O)NCC(=O)O)O,EGLN1
276,2175,CHIR-99021,"GSK3A, GSK3B",WNT signaling,"CT 99021, CHIR99021, CHIR 99021",CC1=CN=C(N1)C2=CN=C(N=C2C3=C(C=C(C=C3)Cl)Cl)NCCNC4=NC=C(C=C4)C#N,"GSK3A,GSK3B"
277,2177,SGC0946,DOT1L,Chromatin histone methylation,-,CC(C)N(CCCNC(=O)NC1=CC=C(C=C1)C(C)(C)C)C[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=C(C4=C(N=CN=C43)N)Br)O)O,DOT1L
278,2359,GSK2830371,WIP1,Other,,CC1=C(C=C(C=N1)Cl)NCC2=CC=C(S2)C(=O)N[C@@H](CC3CCCC3)C(=O)NC4CC4,PPM1D
279,2360,THR-101,Mutant RAS,PI3K/MTOR signaling,WIMM synthesis,CC1=CC=CC=C1N2C(=O)C3=C(S2)C=C(C=C3)F,"HRAS,KRAS,NRAS"
280,2361,THR-102,Mutant RAS,PI3K/MTOR signaling,WIMM synthesis,,"HRAS,KRAS,NRAS"
281,2362,THR-103,Mutant RAS,PI3K/MTOR signaling,WIMM synthesis,,"HRAS,KRAS,NRAS,PIK3CA,MTOR"
282,2438,ascorbate (vitamin C),anti-oxidant proteins,Other,back-up solution from YWKim,,"SOD1,CAT,GPX1"
283,2439,glutathione,anti-oxidant proteins,Other,"G6013, sigma",C(CC(=O)N[C@@H](CS)C(=O)NCC(=O)O)[C@@H](C(=O)O)N,"GPX1,GPX4,SOD1,SOD2,CAT"
284,2498,alpha-lipoic acid,Metabolism,Metabolism,aLA,C1CSSC1CCCCC(=O)O,Metabolism
285,2499,N-acetyl cysteine,Metabolism,Metabolism,NAC,CC(=O)N[C@@H](CS)C(=O)O,Metabolism
