,DrugID,Drug,PUTATIVE_TARGET,MOA,DRUG_SYNONYMS,SMILES,repurposing_target
162,1778,GSK2110183B,"AKT1, AKT2, AKT3",PI3K/MTOR signaling,-,CN1C(=C(C=N1)Cl)C2=C(SC(=C2)C(=O)N[C@@H](CC3=CC(=CC=C3)F)CN)Cl.Cl,"AKT1,AKT2,AKT3"
163,1779,GSK626616AC,DYRK1A,"Other, kinases",-,,DYRK1A
164,1780,GSK3337463A,NIK,"Other, kinases",-,,MAP3K14
165,1782,GSK2830371A,PPM1D,Other,-,,PPM1D
166,1783,LMB_AB1,"ADRA1A, ADRB1",Other,-,,"ADRA1A,ADRB1"
167,1784,LMB_AB2,GADD34,Unclassified,-,,PPP1R15A
168,1785,LMB_AB3,PPP1R15B,Other,-,,PPP1R15B
169,1786,AZD4547,"FGFR1, FGFR2, FGFR3",RTK signaling,1035270-39-3,C[C@@H]1CN(C[C@@H](N1)C)C2=CC=C(C=C2)C(=O)NC3=NNC(=C3)CCC4=CC(=CC(=C4)OC)OC,"FGFR1,FGFR2,FGFR3"
170,1799,Ibrutinib,BTK,"Other, kinases","PCI-32765, CRA-032765, PCI-32765-00",C=CC(=O)N1CCC[C@H](C1)N2C3=NC=NC(=C3C(=N2)C4=CC=C(C=C4)OC5=CC=CC=C5)N,BTK
171,1802,Zoledronate, ,Other,"Zoledronic acid, Zometa, Reclast",C1=CN(C=N1)CC(O)(P(=O)(O)O)P(=O)(O)O,
172,1803,Acetalax,,Unclassified,Oxyphenisatin acetate,CC(=O)OC1=CC=C(C=C1)C2(C3=CC=CC=C3NC2=O)C4=CC=C(C=C4)OC(=O)C,
173,1808,Topotecan,TOP1,DNA replication,-,CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=C(C=CC(=C5CN(C)C)O)N=C4C3=C2)O,TOP1
174,1809,Teniposide,,DNA replication,Vumon,COC1=CC(=CC(=C1O)OC)[C@H]2[C@@H]3[C@H](COC3=O)[C@@H](C4=CC5=C(C=C24)OCO5)O[C@H]6[C@@H]([C@H]([C@H]7[C@H](O6)CO[C@H](O7)C8=CC=CS8)O)O,MTOR
175,1810,Mitoxantrone,TOP2,DNA replication,-,C1=CC(=C2C(=C1NCCNCCO)C(=O)C3=C(C=CC(=C3C2=O)O)O)NCCNCCO,"TOP2A,TOP2B"
176,1811,Dactinomycin,RNA polymerase,Other,Actinomycin D,C[C@@H]1[C@@H](C(=O)N[C@@H](C(=O)N2CCC[C@H]2C(=O)N(CC(=O)N([C@H](C(=O)O1)C(C)C)C)C)C(C)C)NC(=O)C3=C4C(=C(C=C3)C)OC5=C(C(=O)C(=C(C5=N4)C(=O)N[C@H]6[C@H](OC(=O)[C@@H](N(C(=O)CN(C(=O)[C@@H]7CCCN7C(=O)[C@H](NC6=O)C(C)C)C)C)C(C)C)C)N)C,LINC02397
177,1812,Bleomycin,dsDNA break induction,DNA replication,-,CC1=C(N=C(N=C1N)[C@H](CC(=O)N)NC[C@@H](C(=O)N)N)C(=O)N[C@@H]([C@H](C2=CN=CN2)OC3C(C(C(C(O3)CO)O)O)OC4C(C(C(C(O4)CO)O)OC(=O)N)O)C(=O)N[C@H](C)[C@H]([C@H](C)C(=O)N[C@@H]([C@@H](C)O)C(=O)NCCC5=NC(=CS5)C6=NC(=CS6)C(=O)NCCC[S+](C)C)O,dsDNA
178,1813,Fludarabine,Antimetabolite,DNA replication,Fludara,C1=NC2=C(N=C(N=C2N1[C@H]3[C@H]([C@@H]([C@H](O3)CO)O)O)F)N,DNA
179,1814,Nelarabine,,DNA replication,"Atriance, Arranon",COC1=NC(=NC2=C1N=CN2[C@H]3[C@H]([C@@H]([C@H](O3)CO)O)O)N,
180,1815,Dacarbazine,CP11A,Other,DTIC,CN(C)/N=N/C1=C(NC=N1)C(=O)N,CYP1A1
181,1817,Romidepsin,"HDAC1, HDAC2, HDAC3, HDAC8",Chromatin histone acetylation,"Istodax, FK228, Depsipeptide",C/C=C\1/C(=O)N[C@H](C(=O)O[C@H]\2CC(=O)N[C@@H](C(=O)N[C@H](CSSCC/C=C2)C(=O)N1)C(C)C)C(C)C,"HDAC1,HDAC2,HDAC3,HDAC8"
182,1820,123829,,Unclassified,-,,
183,1821,765771,,Unclassified,-,,
184,1824,123138,,Unclassified,-,,
185,1825,Podophyllotoxin bromide,,Unclassified,-,COC1=CC(=CC(=C1OC)OC)[C@H]2[C@@H]3[C@H](COC3=O)C(C4=CC5=C(C=C24)OCO5)Br,
186,1826,50869,,Unclassified,-,,
187,1827,Dihydrorotenone,,Unclassified,-,CC(C)[C@H]1CC2=C(O1)C=CC3=C2O[C@@H]4COC5=CC(=C(C=C5[C@@H]4C3=O)OC)OC,
188,1828,720427,,Unclassified,-,,
189,1829,667880,,Unclassified,-,,
190,1830,Gallibiscoquinazole,,Unclassified,-,COC1=C(C(=C2C(=C1)C(=O)NC(N2)(NC(=O)OC)NC(=O)OC)OC)OC,
191,1831,L-Oxonoreleagnine,,Unclassified,-,C1CNC(=O)C2=C1C3=CC=CC=C3N2,
192,1832,729189,,Unclassified,-,,
193,1833,741909,,Unclassified,-,,
194,1834,743380,,Unclassified,-,,
195,1835,Elephantin,,Unclassified,-,CC(=CC(=O)O[C@H]1CC2=C[C@@H](C[C@@]3([C@H](O3)[C@@H]4[C@@H]1C(=C)C(=O)O4)C)OC2=O)C,
196,1836,150412,,Unclassified,-,,
197,1838,Sinularin,,Unclassified,-,C/C/1=C\CCC(C2CC(CCC3(C(O3)CC1)C)C(=C)C(=O)O2)(C)O,
198,1839,615590,,Unclassified,-,,
199,1840,630600,,Unclassified,-,,
200,1843,LMP744,TOP1,DNA replication,MJ-III-65,COC1=C(C=C2C(=C1)C3=C(C4=CC5=C(C=C4C3=O)OCO5)N(C2=O)CCCNCCO)OC,TOP1
201,1844,776928,,Unclassified,-,,
202,1845,Schweinfurthin A,,Unclassified,-,CC(=CCC/C(=C/CC1=C(C=C(C=C1O)/C=C/C2=CC3=C(C(=C2)O)O[C@@]4(C[C@H]([C@H](C([C@H]4C3)(C)C)O)O)C)O)/C)C,
203,1847,BEN,,Unclassified,-,,
204,1849,Sabutoclax,"BCL2,  BCL-XL,  BFL1, MCL1",Apoptosis regulation,BI-97C1,CC1=CC2=C(C(=C(C=C2C(=C1C3=C(C4=CC(=C(C(=C4C=C3C)C(=O)NC[C@H](C)C5=CC=CC=C5)O)O)O)O)O)O)C(=O)NC[C@H](C)C6=CC=CC=C6,"BCL2,BCL2L1,BCL2A1,MCL1"
205,1852,LY2109761,TGFB1,Other,5XE,C1CC2=C(C(=NN2C1)C3=CC=CC=N3)C4=C5C=CC(=CC5=NC=C4)OCCN6CCOCC6,
206,1853,OF-1,"BRPF1B, BRPF2",Chromatin histone acetylation,-,CC1=C(C=CC(=C1)Br)S(=O)(=O)NC2=CC3=C(C=C2OC)N(C(=O)N3C)C,"BRD1,BRD1"
207,1854,MN-64,"TNKS1, TNKS2",WNT signaling,-,CC(C)C1=CC=C(C=C1)C2=CC(=O)C3=CC=CC=C3O2,"TNKS,TNKS2"
208,1855,KRAS (G12C) Inhibitor-12,KRAS (G12C),ERK MAPK signaling,GTPL8020,,KRAS
209,1862,MG-132,"Proteasome, CAPN1",Protein stability and degradation,"LLL cpd, MG 132, MG132",CC(C)C[C@@H](C=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OCC1=CC=CC=C1,"SMC6,CAPN1"
210,1866,BDP-00009066,MRCKB_HUMAN,Cytoskeleton,-,,CDC42BPA
211,1873,Buparlisib,"PI3Kalpha, PI3Kdelta, PI3Kbeta, PI3Kgamma",PI3K/MTOR signaling,"BKM120, NVP-BKM120",C1COCCN1C2=NC(=NC(=C2)C3=CN=C(C=C3C(F)(F)F)N)N4CCOCC4,"PIK3CA,PIK3CD,PIK3CB,PIK3CG"
212,1908,Ulixertinib,"ERK1, ERK2",ERK MAPK signaling,"BVD-523, VRT752271",CC(C)NC1=NC=C(C(=C1)C2=CNC(=C2)C(=O)N[C@H](CO)C3=CC(=CC=C3)Cl)Cl,"MAPK3,GPSM2"
213,1909,Venetoclax,BCL2,Apoptosis regulation,"ABT-199, Veneclexta, GDC-0199",CC1(CCC(=C(C1)C2=CC=C(C=C2)Cl)CN3CCN(CC3)C4=CC(=C(C=C4)C(=O)NS(=O)(=O)C5=CC(=C(C=C5)NCC6CCOCC6)[N+](=O)[O-])OC7=CN=C8C(=C7)C=CN8)C,BCL2
214,1910,ABT737,"BCL2, BCL-XL,  BCL-W, BCL-B, BFL1",Apoptosis regulation,-,CN(C)CC[C@H](CSC1=CC=CC=C1)NC2=C(C=C(C=C2)S(=O)(=O)NC(=O)C3=CC=C(C=C3)N4CCN(CC4)CC5=CC=CC=C5C6=CC=C(C=C6)Cl)[N+](=O)[O-],"BCL2,BCL2L1,BCL2L2,BCL2L10,BCL2A1"
215,1912,Afuresertib,"AKT1, AKT2, AKT3",PI3K/MTOR signaling,"GSK2110183, GSK2110183C",CN1C(=C(C=N1)Cl)C2=C(SC(=C2)C(=O)N[C@@H](CC3=CC(=CC=C3)F)CN)Cl,"AKT1,AKT2,AKT3"
216,1913,AGI-5198,IDH1 (R132H),Metabolism,IDH-C35,CC1=CC=CC=C1C(C(=O)NC2CCCCC2)N(C3=CC(=CC=C3)F)C(=O)CN4C=CN=C4C,IDH1
217,1915,AZD3759,EGFR,EGFR signaling,-,C[C@@H]1CN(CCN1C(=O)OC2=C(C=C3C(=C2)C(=NC=N3)NC4=C(C(=CC=C4)Cl)F)OC)C,EGFR
218,1916,AZD5363,"AKT1, AKT2, AKT3, ROCK2","Other, kinases",-,C1CN(CCC1(C(=O)N[C@@H](CCO)C2=CC=C(C=C2)Cl)N)C3=NC=NC4=C3C=CN4,"AKT1,AKT2,AKT3,ROCK2"
219,1917,AZD6738,ATR,Genome integrity,"AZD 6738, AZD-6738",C[C@@H]1COCCN1C2=NC(=NC(=C2)C3(CC3)[S@](=N)(=O)C)C4=C5C=CNC5=NC=C4,ATR
220,1918,AZD8186,"PI3Kalpha, PI3Kbeta",PI3K/MTOR signaling,"AZD 8186, AZD-8186",C[C@H](C1=CC(=CC2=C1OC(=CC2=O)N3CCOCC3)C(=O)N(C)C)NC4=CC(=CC(=C4)F)F,"PIK3CA,PIK3CB"
